Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"FA830720G0004",,"P00003",0,"BOA Basic Ordering Agreement","$0.00","Nov 18, 2020",,"5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
"FA830720G0004",,"P00001",0,"BOA Basic Ordering Agreement","$0.00","Jan 15, 2020",,"5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
"FA830720F0077","FA830720G0004","0","0","DO Delivery Order","$2,489,000.00","Jun 25, 2020","Apr 17, 2020","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
"FA830720F0077","FA830720G0004","P00001","0","DO Delivery Order","$0.00","Aug 31, 2020","Apr 17, 2020","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
"FA830720G0004",,"0",0,"BOA Basic Ordering Agreement","$0.00","Nov 1, 2019",,"5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
"FA830720G0004",,"P00002",0,"BOA Basic Ordering Agreement","$0.00","Jun 19, 2020",,"5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","4VRA5",
"FA830720F0077","FA830720G0004","P00005","0","DO Delivery Order","$0.00","Sep 28, 2021","Apr 17, 2020","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
"FA830720F0077","FA830720G0004","P00006","0","DO Delivery Order","$0.00","Feb 3, 2022","Apr 17, 2020","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
"FA330021FG029","FA830720G0004","0","0","DO Delivery Order","$12,630.42","Aug 25, 2021",,"5700","DEPT OF THE AIR FORCE","FA3300  42 CONS CC","P","7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
"FA830720F0077","FA830720G0004","P00004","0","DO Delivery Order","$0.00","Aug 30, 2021","Apr 17, 2020","5700","DEPT OF THE AIR FORCE","FA8307  AFLCMC HNCK C3IN","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","RESTON","VA","201905230","NONE","NONE OF THE ABOVE","DT8KJHZXVJH5","DT8KJHZXVJH5","CARAHSOFT TECHNOLOGY CORPORATION","CARAHSOFT TECHNOLOGY CORP.","1P3C5",
